CustomerID,Age,Income,SpendingScore,Region,CampaignResponse
195,27,73700.04,79,North,No
196,42,65958.44,69,West,Yes
197,25,58545.22,59,East,Yes
198,35,28801.78,13,East,No
199,26,80609.37,55,West,No
200,24,61602.21,45,West,No
201,24,59602.44,76,North,Yes
202,27,56495.34,3,South,No
203,41,51282.55,20,North,No
204,40,50314.87,88,North,Yes
205,43,54856.84,11,North,Yes
206,60,34879.06,96,East,No
207,50,87917.82,39,West,No
208,46,59165.69,86,East,No
209,27,66501.1,88,South,Yes
210,30,67655.61,49,South,No
211,60,77938.61,72,South,Yes
212,28,43741.44,49,West,Yes
213,42,42823.42,98,West,No
214,43,62328.28,7,West,Yes
215,24,52616.23,16,East,No
216,42,95505.49,78,South,Yes
217,40,38497.46,54,West,No
218,43,35827.71,42,West,No
219,49,69372.15,99,North,No
220,37,71177.25,26,North,Yes
221,41,68780.1,51,West,Yes
222,26,62724.84,8,North,No
223,58,66073.36,81,North,No
224,54,40538.36,38,East,Yes
225,40,69481.26,80,South,No
226,31,42369.86,20,West,Yes
227,63,50476.94,94,South,No
228,23,24625.81,35,North,Yes
229,44,43107.29,52,East,No
230,18,69029.37,12,North,No
231,43,68526.67,88,West,Yes
232,59,57585.04,95,East,No
233,34,42388.8,5,South,Yes
234,46,78320.11,49,South,No
235,43,34141.12,23,South,Yes
236,44,58818.88,86,East,Yes
237,38,50844.77,53,North,Yes
238,24,41936.85,1,North,Yes
239,43,61810.37,28,North,No
240,58,45673.83,33,South,Yes
241,37,61030.84,59,West,No
242,23,66746.26,25,West,No
243,47,67574.07,5,North,No
244,48,65051.36,11,West,Yes
245,46,81184.1,70,South,No
246,34,44362.74,93,South,Yes
247,54,83654.56,31,South,Yes
248,37,52035.59,8,West,No
249,52,48562.52,32,East,No
250,42,70433.51,62,North,No
251,63,61753.21,44,South,Yes
252,50,70554.37,80,West,No
253,19,55453.38,28,West,No
254,21,72512.31,57,West,Yes
255,27,61604.73,5,East,No
256,50,63165.25,19,North,Yes
257,22,60425.48,72,East,No
258,42,79514.26,82,North,Yes
259,25,38021.85,51,East,Yes
260,42,35641.51,57,South,No
261,38,62884.45,1,West,No
262,62,86167.8,15,North,No
263,35,61182.2,86,South,No
264,59,52965.77,9,South,Yes
265,48,34067.51,25,North,No
266,23,75977.32,98,South,Yes
267,24,67204.23,58,West,Yes
268,58,62062.49,25,North,No
269,65,71834.36,61,South,Yes
270,34,47593.8,4,East,No
271,62,63659.16,15,South,Yes
272,45,45002.05,70,East,No
273,57,77121.23,7,East,No
274,24,30256.32,62,South,No
275,37,59632.4,93,South,Yes
276,35,56877.71,9,South,No
277,46,45194.26,97,North,Yes
278,34,53887.26,3,East,No
279,50,52308.29,72,North,Yes
280,19,44826.59,45,East,No
281,19,34403.97,57,South,No
282,30,86728.15,87,South,No
283,41,36836.09,55,West,Yes
284,20,57197.86,74,South,No
285,35,58099.92,62,South,No
286,19,43793.72,31,East,Yes
287,54,62624.35,39,South,No
288,29,42135.06,21,East,Yes
289,30,59186.3,85,East,No
290,59,34730.02,61,West,No
291,23,50780.95,75,East,No
292,59,65506.25,56,North,No
293,59,23139.86,28,North,Yes
294,55,56934.97,73,South,No
295,65,68375.04,55,South,No
296,33,64863.16,35,North,No
297,52,70466.06,51,North,Yes
298,53,44661.4,81,East,No
299,44,57475.94,53,East,Yes
300,44,48607.66,21,North,No
