"Date","SalePrice","DailySale","HouseRegion"
2022-08-05,950.95,98,"SouthSydney"
2022-08-06,586.4,84,"CentralSydney"
2022-08-07,1082.15,182,"EastSydney"
2022-08-08,881.79,298,"EastSydney"
2022-08-09,918.4,272,"EastSydney"
2022-08-10,929.88,132,"EastSydney"
2022-08-11,989.46,145,"SouthSydney"
2022-08-12,1069.73,130,"NorthSydney"
2022-08-13,994.07,166,"SouthSydney"
2022-08-14,958.43,293,"CentralSydney"
2022-08-15,1109.7,64,"WestSydney"
2022-08-16,853.03,221,"WestSydney"
2022-08-17,1035.57,153,"SouthSydney"
2022-08-18,784.81,114,"WestSydney"
2022-08-19,1038.75,267,"SouthSydney"
2022-08-20,1039.87,59,"SouthSydney"
2022-08-21,1139.74,185,"SouthSydney"
2022-08-22,1150.78,244,"SouthSydney"
2022-08-23,1049.66,245,"WestSydney"
2022-08-24,1105.61,270,"NorthSydney"
2022-08-25,934.31,230,"WestSydney"
2022-08-26,920.92,76,"CentralSydney"
2022-08-27,1050.91,121,"CentralSydney"
2022-08-28,854.74,218,"NorthSydney"
2022-08-29,1120.36,92,"EastSydney"
2022-08-30,942.94,280,"EastSydney"
2022-08-31,1131.3,94,"NorthSydney"
2022-09-01,986.48,152,"NorthSydney"
2022-09-02,1106.54,131,"CentralSydney"
2022-09-03,1154.99,249,"EastSydney"
2022-09-04,1122.72,66,"SouthSydney"
2022-09-05,1141.12,251,"SouthSydney"
2022-09-06,897.18,162,"CentralSydney"
2022-09-07,835.74,56,"CentralSydney"
2022-09-08,827.99,161,"SouthSydney"
2022-09-09,1095.81,234,"WestSydney"
2022-09-10,922.88,227,"SouthSydney"
2022-09-11,1111.14,59,"SouthSydney"
2022-09-12,954.38,231,"NorthSydney"
2022-09-13,1136.02,85,"SouthSydney"
2022-09-14,700.84,88,"CentralSydney"
2022-09-15,1097.21,54,"WestSydney"
2022-09-16,921.57,198,"CentralSydney"
2022-09-17,954.19,152,"SouthSydney"
2022-09-18,1124.92,240,"WestSydney"
2022-09-19,1019.02,101,"EastSydney"
2022-09-20,1004.64,245,"CentralSydney"
2022-09-21,875.89,90,"SouthSydney"
2022-09-22,1038,201,"WestSydney"
2022-09-23,1139.85,282,"CentralSydney"
2022-09-24,1070.85,118,"WestSydney"
2022-09-25,1153.16,55,"WestSydney"
2022-09-26,957.66,50,"SouthSydney"
2022-09-27,767.36,231,"SouthSydney"
2022-09-28,942.63,139,"WestSydney"
2022-09-29,1063.25,91,"WestSydney"
2022-09-30,878.77,83,"SouthSydney"
2022-10-01,1061.98,146,"WestSydney"
2022-10-02,1054.68,90,"NorthSydney"
2022-10-03,973.1,95,"CentralSydney"
2022-10-04,1043.28,292,"WestSydney"
2022-10-05,1087.09,204,"SouthSydney"
2022-10-06,1040.95,239,"CentralSydney"
2022-10-07,1061.66,116,"WestSydney"
2022-10-08,990.29,272,"SouthSydney"
2022-10-09,1107.13,249,"NorthSydney"
2022-10-10,1131.24,221,"WestSydney"
2022-10-11,1013.62,224,"SouthSydney"
2022-10-12,970.54,73,"SouthSydney"
2022-10-13,1112.6,278,"EastSydney"
2022-10-14,898.15,295,"SouthSydney"
2022-10-15,1012.54,120,"EastSydney"
2022-10-16,907.8,180,"SouthSydney"
2022-10-17,956.64,167,"NorthSydney"
2022-10-18,1096.63,63,"SouthSydney"
2022-10-19,1125.95,58,"WestSydney"
2022-10-20,1019.42,257,"WestSydney"
2022-10-21,957.45,254,"NorthSydney"
2022-10-22,966.3,282,"WestSydney"
2022-10-23,784.2,74,"NorthSydney"
2022-10-24,754.75,208,"EastSydney"
2022-10-25,1052.17,91,"NorthSydney"
2022-10-26,1110.57,185,"WestSydney"
2022-10-27,1082.05,92,"WestSydney"
2022-10-28,1123.15,84,"NorthSydney"
2022-10-29,1073.92,66,"WestSydney"
2022-10-30,968.31,74,"SouthSydney"
2022-10-31,1026.2,80,"CentralSydney"
2022-11-01,931.69,135,"CentralSydney"
2022-11-02,1096.42,234,"CentralSydney"
2022-11-03,1031.58,160,"SouthSydney"
2022-11-04,550.98,83,"CentralSydney"
2022-11-05,1076.44,211,"NorthSydney"
2022-11-06,878.43,277,"NorthSydney"
2022-11-07,940.92,241,"NorthSydney"
2022-11-08,861.88,125,"NorthSydney"
2022-11-09,1143.27,257,"NorthSydney"
2022-11-10,1127.36,237,"CentralSydney"
2022-11-11,995.33,125,"SouthSydney"
2022-11-12,999.01,90,"SouthSydney"
2022-11-13,979.32,72,"SouthSydney"
2022-11-14,807.59,210,"EastSydney"
2022-11-15,1060.91,171,"CentralSydney"
2022-11-16,1093.18,211,"SouthSydney"
2022-11-17,569.16,190,"CentralSydney"
2022-11-18,1047.47,287,"NorthSydney"
2022-11-19,931.09,284,"SouthSydney"
2022-11-20,884.72,186,"CentralSydney"
2022-11-21,1139.48,53,"NorthSydney"
2022-11-22,1110.86,227,"EastSydney"
2022-11-23,1030.73,271,"SouthSydney"
2022-11-24,1143.24,280,"EastSydney"
2022-11-25,986.32,200,"CentralSydney"
2022-11-26,1053.79,264,"NorthSydney"
2022-11-27,771.36,163,"SouthSydney"
2022-11-28,914.93,177,"CentralSydney"
2022-11-29,1150.63,79,"CentralSydney"
2022-11-30,1156.23,132,"SouthSydney"
2022-12-01,916.42,80,"SouthSydney"
2022-12-02,1013.04,252,"SouthSydney"
2022-12-03,712.21,82,"CentralSydney"
2022-12-04,836.2,153,"SouthSydney"
2022-12-05,1117.12,68,"EastSydney"
2022-12-06,1076.21,177,"WestSydney"
2022-12-07,926.54,109,"EastSydney"
2022-12-08,976.49,227,"CentralSydney"
2022-12-09,1079.77,208,"WestSydney"
2022-12-10,1088.74,207,"CentralSydney"
2022-12-11,782.15,215,"EastSydney"
2022-12-12,853.39,211,"CentralSydney"
2022-12-13,1087.46,163,"SouthSydney"
2022-12-14,1076.35,78,"SouthSydney"
2022-12-15,1046.23,245,"WestSydney"
2022-12-16,1145.8,251,"NorthSydney"
2022-12-17,943.33,92,"WestSydney"
2022-12-18,941.58,182,"CentralSydney"
2022-12-19,1020.57,179,"NorthSydney"
2022-12-20,847.97,265,"CentralSydney"
2022-12-21,1080.58,212,"NorthSydney"
2022-12-22,909.73,81,"EastSydney"
2022-12-23,1141.85,297,"WestSydney"
2022-12-24,1077.93,123,"NorthSydney"
2022-12-25,1095.01,267,"EastSydney"
2022-12-26,974.32,283,"NorthSydney"
2022-12-27,986.46,152,"NorthSydney"
2022-12-28,977.95,205,"CentralSydney"
2022-12-29,1088.27,84,"WestSydney"
2022-12-30,822.52,225,"NorthSydney"
2022-12-31,879.06,271,"EastSydney"
2023-01-01,1010.09,60,"WestSydney"
2023-01-02,1061.3,154,"SouthSydney"
2023-01-03,1015.64,176,"WestSydney"
2023-01-04,1086.24,131,"NorthSydney"
2023-01-05,1132.36,217,"SouthSydney"
2023-01-06,1019.92,262,"CentralSydney"
2023-01-07,1148.13,262,"NorthSydney"
2023-01-08,849.74,271,"EastSydney"
2023-01-09,1110.27,205,"SouthSydney"
2023-01-10,931.83,93,"NorthSydney"
2023-01-11,965.38,280,"WestSydney"
2023-01-12,692.48,247,"EastSydney"
2023-01-13,933.96,66,"SouthSydney"
2023-01-14,978.76,78,"CentralSydney"
2023-01-15,1061.74,277,"EastSydney"
2023-01-16,1140.25,52,"NorthSydney"
2023-01-17,992.71,290,"SouthSydney"
2023-01-18,1084.46,169,"CentralSydney"
2023-01-19,1021.79,277,"NorthSydney"
2023-01-20,910.42,102,"EastSydney"
2023-01-21,928.14,172,"EastSydney"
2023-01-22,1132.29,241,"CentralSydney"
2023-01-23,1021.89,224,"SouthSydney"
2023-01-24,1093.56,197,"EastSydney"
2023-01-25,902.82,86,"WestSydney"
2023-01-26,1098.21,63,"CentralSydney"
2023-01-27,1136.65,136,"SouthSydney"
2023-01-28,765.53,229,"NorthSydney"
2023-01-29,991.61,153,"EastSydney"
2023-01-30,1034.38,174,"CentralSydney"
2023-01-31,1125.65,97,"SouthSydney"
2023-02-01,1083.06,168,"WestSydney"
2023-02-02,1103.03,205,"EastSydney"
2023-02-03,1065.78,188,"NorthSydney"
2023-02-04,989.99,291,"CentralSydney"
2023-02-05,982.29,206,"WestSydney"
2023-02-06,990.47,233,"NorthSydney"
2023-02-07,974.78,252,"EastSydney"
2023-02-08,656.45,63,"EastSydney"
2023-02-09,1116.93,258,"WestSydney"
2023-02-10,961.8,221,"SouthSydney"
2023-02-11,857.7,104,"CentralSydney"
2023-02-12,995.42,137,"SouthSydney"
2023-02-13,1110.91,209,"EastSydney"
2023-02-14,850.04,121,"SouthSydney"
2023-02-15,962.8,65,"WestSydney"
2023-02-16,954.98,243,"WestSydney"
2023-02-17,948.07,115,"EastSydney"
2023-02-18,1116.38,124,"CentralSydney"
2023-02-19,1001.33,152,"CentralSydney"
2023-02-20,1053.61,100,"NorthSydney"
2023-02-21,1042.66,89,"CentralSydney"
2023-02-22,945.64,239,"SouthSydney"
2023-02-23,856.46,291,"NorthSydney"
2023-02-24,902.72,255,"NorthSydney"
2023-02-25,1021.48,176,"NorthSydney"
2023-02-26,1077.93,217,"CentralSydney"
2023-02-27,1026.53,132,"CentralSydney"
2023-02-28,1140.57,163,"SouthSydney"
2023-03-01,972.83,204,"SouthSydney"
2023-03-02,1051.33,127,"CentralSydney"
2023-03-03,942.71,103,"WestSydney"
2023-03-04,1104.41,261,"EastSydney"
2023-03-05,1143.16,251,"NorthSydney"
2023-03-06,1092.79,280,"SouthSydney"
2023-03-07,840.86,290,"CentralSydney"
2023-03-08,940.02,188,"SouthSydney"
2023-03-09,1127.06,286,"CentralSydney"
2023-03-10,967.54,233,"SouthSydney"
2023-03-11,1111.43,127,"WestSydney"
2023-03-12,897.02,221,"EastSydney"
2023-03-13,1128.48,272,"WestSydney"
2023-03-14,1054.22,187,"EastSydney"
2023-03-15,963.61,255,"EastSydney"
2023-03-16,1133.33,201,"CentralSydney"
2023-03-17,1000.5,249,"WestSydney"
2023-03-18,1108.04,141,"NorthSydney"
2023-03-19,922.41,140,"NorthSydney"
2023-03-20,939.58,158,"SouthSydney"
2023-03-21,1023.74,163,"CentralSydney"
2023-03-22,813.04,271,"CentralSydney"
2023-03-23,864.19,179,"EastSydney"
2023-03-24,1075.95,204,"NorthSydney"
2023-03-25,994.54,180,"EastSydney"
2023-03-26,1066.89,214,"NorthSydney"
2023-03-27,1134.37,243,"EastSydney"
2023-03-28,1108.04,72,"NorthSydney"
2023-03-29,821.88,173,"SouthSydney"
2023-03-30,938.28,66,"WestSydney"
2023-03-31,966.93,82,"CentralSydney"
2023-04-01,775.43,103,"NorthSydney"
2023-04-02,948.64,187,"SouthSydney"
2023-04-03,1028.95,131,"WestSydney"
2023-04-04,1146.81,186,"EastSydney"
2023-04-05,890.73,230,"NorthSydney"
2023-04-06,1068.3,272,"SouthSydney"
2023-04-07,914.25,188,"SouthSydney"
2023-04-08,1080.53,153,"WestSydney"
2023-04-09,793.15,142,"EastSydney"
2023-04-10,1073.81,94,"SouthSydney"
2023-04-11,979.51,190,"CentralSydney"
2023-04-12,730.97,60,"SouthSydney"
2023-04-13,826.38,282,"SouthSydney"
2023-04-14,1083.86,108,"WestSydney"
2023-04-15,1139.45,191,"NorthSydney"
2023-04-16,721.18,239,"NorthSydney"
2023-04-17,996.28,158,"WestSydney"
2023-04-18,864.29,281,"SouthSydney"
2023-04-19,1100.36,66,"SouthSydney"
2023-04-20,888.53,126,"SouthSydney"
2023-04-21,1151.35,300,"SouthSydney"
2023-04-22,1163.87,114,"EastSydney"
2023-04-23,1141.88,108,"EastSydney"
2023-04-24,1033.12,175,"NorthSydney"
2023-04-25,972.22,297,"NorthSydney"
2023-04-26,1154.02,118,"WestSydney"
2023-04-27,706.33,81,"SouthSydney"
2023-04-28,1140.15,200,"EastSydney"
2023-04-29,1135.28,291,"NorthSydney"
2023-04-30,1053.86,137,"CentralSydney"
2023-05-01,1128.75,58,"CentralSydney"
2023-05-02,1104.19,165,"SouthSydney"
2023-05-03,1149.13,253,"EastSydney"
2023-05-04,915.87,204,"NorthSydney"
2023-05-05,1060.75,126,"SouthSydney"
2023-05-06,681.54,89,"EastSydney"
2023-05-07,1035.59,124,"EastSydney"
2023-05-08,1067.04,168,"SouthSydney"
2023-05-09,924.95,201,"CentralSydney"
2023-05-10,884.2,278,"CentralSydney"
2023-05-11,1122.13,178,"SouthSydney"
2023-05-12,1027.81,78,"CentralSydney"
2023-05-13,1091.87,113,"NorthSydney"
2023-05-14,1138.77,286,"CentralSydney"
2023-05-15,954.8,141,"WestSydney"
2023-05-16,1066.43,151,"EastSydney"
2023-05-17,860.04,111,"SouthSydney"
2023-05-18,840.75,156,"NorthSydney"
2023-05-19,1106.75,212,"WestSydney"
2023-05-20,1117.97,231,"NorthSydney"
2023-05-21,1125.33,297,"CentralSydney"
2023-05-22,1095.67,123,"NorthSydney"
2023-05-23,884.77,98,"CentralSydney"
2023-05-24,713.25,144,"WestSydney"
2023-05-25,1055.99,79,"SouthSydney"
2023-05-26,929.36,189,"SouthSydney"
2023-05-27,1129.24,251,"WestSydney"
2023-05-28,1122.04,66,"NorthSydney"
2023-05-29,812.14,210,"EastSydney"
2023-05-30,943.16,101,"WestSydney"
2023-05-31,1093.48,126,"EastSydney"
2023-06-01,1091.82,115,"EastSydney"
2023-06-02,998.41,134,"EastSydney"
2023-06-03,865.05,198,"CentralSydney"
2023-06-04,1104.82,69,"CentralSydney"
2023-06-05,1109.26,98,"EastSydney"
2023-06-06,1086.08,94,"CentralSydney"
2023-06-07,1028.96,94,"CentralSydney"
2023-06-08,893.61,120,"WestSydney"
2023-06-09,1005.14,73,"CentralSydney"
2023-06-10,1163.68,136,"SouthSydney"
2023-06-11,944.22,77,"EastSydney"
2023-06-12,712.58,147,"NorthSydney"
2023-06-13,1140.47,283,"WestSydney"
2023-06-14,1128.2,277,"WestSydney"
2023-06-15,988.6,234,"NorthSydney"
2023-06-16,1022.53,271,"NorthSydney"
2023-06-17,696.72,296,"EastSydney"
2023-06-18,963.89,184,"EastSydney"
2023-06-19,1056.92,248,"WestSydney"
2023-06-20,651.24,150,"CentralSydney"
2023-06-21,983.47,236,"SouthSydney"
2023-06-22,1125.83,226,"CentralSydney"
2023-06-23,1005.82,75,"EastSydney"
2023-06-24,1036.99,237,"WestSydney"
2023-06-25,856.05,226,"CentralSydney"
2023-06-26,1145.65,200,"WestSydney"
2023-06-27,1089.94,57,"WestSydney"
2023-06-28,953.79,163,"EastSydney"
2023-06-29,949.52,211,"NorthSydney"
2023-06-30,1145.17,294,"SouthSydney"
2023-07-01,1071.99,64,"SouthSydney"
2023-07-02,1077.42,87,"SouthSydney"
2023-07-03,1005.02,284,"SouthSydney"
2023-07-04,1159.59,248,"SouthSydney"
2023-07-05,664.4,176,"CentralSydney"
2023-07-06,839,219,"WestSydney"
2023-07-07,810.2,58,"WestSydney"
2023-07-08,1029.3,128,"SouthSydney"
2023-07-09,1115.35,230,"EastSydney"
2023-07-10,958.86,233,"WestSydney"
2023-07-11,881.04,251,"CentralSydney"
2023-07-12,1103.24,200,"SouthSydney"
2023-07-13,946.29,287,"EastSydney"
2023-07-14,895.57,290,"WestSydney"
2023-07-15,996.88,113,"CentralSydney"
2023-07-16,875.23,162,"NorthSydney"
2023-07-17,810.43,189,"WestSydney"
2023-07-18,698.42,140,"CentralSydney"
2023-07-19,1083.89,219,"CentralSydney"
2023-07-20,889.51,192,"WestSydney"
2023-07-21,1078.04,232,"WestSydney"
2023-07-22,883.41,70,"NorthSydney"
2023-07-23,1156.5,111,"EastSydney"
2023-07-24,1093.77,288,"CentralSydney"
2023-07-25,1119.45,137,"CentralSydney"
2023-07-26,1044.92,92,"CentralSydney"
2023-07-27,918.36,71,"EastSydney"
2023-07-28,879.38,55,"EastSydney"
2023-07-29,887.42,77,"NorthSydney"
2023-07-30,1107.88,146,"EastSydney"
2023-07-31,1095.73,191,"CentralSydney"
2023-08-01,1019.1,121,"SouthSydney"
2023-08-02,1103.85,232,"SouthSydney"
2023-08-03,826.68,185,"CentralSydney"
2023-08-04,1070.51,276,"EastSydney"
2023-08-05,870.8,192,"CentralSydney"
2023-08-06,1014.47,238,"WestSydney"
2023-08-07,916.53,63,"EastSydney"
2023-08-08,878.1,77,"CentralSydney"
2023-08-09,1133.78,69,"WestSydney"
2023-08-10,1036.26,285,"NorthSydney"
2023-08-11,1087.32,170,"WestSydney"
2023-08-12,1125.14,154,"EastSydney"
2023-08-13,984.81,154,"EastSydney"
2023-08-14,804.24,247,"EastSydney"
2023-08-15,1106.16,145,"WestSydney"
2023-08-16,996.9,154,"EastSydney"
2023-08-17,946.61,191,"WestSydney"
2023-08-18,768.14,131,"CentralSydney"
2023-08-19,1011.25,107,"WestSydney"
2023-08-20,971.65,222,"CentralSydney"
2023-08-21,1038.23,174,"WestSydney"
2023-08-22,988.56,136,"NorthSydney"
2023-08-23,1017.93,205,"NorthSydney"
